country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,latitude,longitude
canada,ontario,10-04-2023,02-04-2023,8,13,250,psg,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,02-04-2023,8,8,250,psg,sports,50.93331097,-102.7999891
canada,manitoba,10-04-2023,02-04-2023,22,2,40,raptors,sports,50.15002545,-96.88332178
canada,newfoundland and labrador,10-04-2023,02-04-2023,22,4,40,raptors,sports,49.17440025,-57.42691878
canada,alberta,10-04-2023,02-04-2023,6,65,250,real madrid,sports,53.01669802,-112.8166386
canada,manitoba,10-04-2023,02-04-2023,6,71,250,real madrid,sports,50.15002545,-96.88332178
canada,nova scotia,10-04-2023,02-04-2023,23,46,40,toronto blue jays,sports,45.58327578,-62.63331934
canada,ontario,10-04-2023,02-04-2023,23,42,40,toronto blue jays,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,02-04-2023,23,43,40,toronto blue jays,sports,50.93331097,-102.7999891
canada,alberta,10-04-2023,02-04-2023,15,14,130,ufc,sports,53.01669802,-112.8166386
canada,manitoba,10-04-2023,02-04-2023,15,17,130,ufc,sports,50.15002545,-96.88332178
canada,new brunswick,10-04-2023,02-04-2023,15,13,130,ufc,sports,45.26704185,-66.07667505
canada,alberta,10-04-2023,02-04-2023,10,100,180,ufc 287,sports,53.01669802,-112.8166386
canada,ontario,10-04-2023,02-04-2023,10,100,180,ufc 287,sports,44.56664532,-80.84998519
canada,newfoundland and labrador,10-04-2023,02-04-2023,3,22,600,ufc tonight,sports,49.17440025,-57.42691878
canada,ontario,10-04-2023,02-04-2023,16,100,120,whl scores,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,02-04-2023,19,31,50,blue jays,sports,53.01669802,-112.8166386
canada,new brunswick,10-04-2023,02-04-2023,19,32,50,blue jays,sports,45.26704185,-66.07667505
canada,british columbia,10-04-2023,02-04-2023,14,30,130,blue jays score,sports,49.09996035,-116.516697
canada,nova scotia,10-04-2023,02-04-2023,14,13,130,blue jays score,sports,45.58327578,-62.63331934
canada,newfoundland and labrador,10-04-2023,02-04-2023,2,35,600,delonte west,people,49.17440025,-57.42691878
canada,new brunswick,10-04-2023,02-04-2023,18,36,70,edmonton oilers,sports,45.26704185,-66.07667505
canada,alberta,10-04-2023,02-04-2023,9,58,250,epl,sports,53.01669802,-112.8166386
canada,newfoundland and labrador,10-04-2023,02-04-2023,9,37,250,epl,sports,49.17440025,-57.42691878
canada,northwest territories,10-04-2023,02-04-2023,9,41,250,epl,sports,62.40005292,-110.7333291
canada,saskatchewan,10-04-2023,02-04-2023,9,44,250,epl,sports,50.93331097,-102.7999891
canada,alberta,10-04-2023,02-04-2023,7,14,250,lotto max,entertainment,53.01669802,-112.8166386
canada,newfoundland and labrador,10-04-2023,02-04-2023,7,12,250,lotto max,entertainment,49.17440025,-57.42691878
canada,nova scotia,10-04-2023,02-04-2023,7,13,250,lotto max,entertainment,45.58327578,-62.63331934
canada,alberta,10-04-2023,02-04-2023,21,31,40,mlb scores,sports,53.01669802,-112.8166386
canada,saskatchewan,10-04-2023,02-04-2023,21,27,40,mlb scores,sports,50.93331097,-102.7999891
canada,newfoundland and labrador,10-04-2023,02-04-2023,20,38,50,nba standings,sports,49.17440025,-57.42691878
canada,northwest territories,10-04-2023,02-04-2023,20,48,50,nba standings,sports,62.40005292,-110.7333291
canada,ontario,10-04-2023,02-04-2023,20,64,50,nba standings,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,02-04-2023,20,72,50,nba standings,sports,50.93331097,-102.7999891
