country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,Country,latitude,longitude
canada,nova scotia,2023-04-10,2023-04-02,23,46,40,toronto blue jays,sports,Canada,45.58327578,-62.63331934
canada,ontario,2023-04-10,2023-04-02,23,42,40,toronto blue jays,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-04-02,23,43,40,toronto blue jays,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-04-02,15,14,130,ufc,sports,Canada,53.01669802,-112.8166386
canada,manitoba,2023-04-10,2023-04-02,15,17,130,ufc,sports,Canada,50.15002545,-96.88332178
canada,new brunswick,2023-04-10,2023-04-02,15,13,130,ufc,sports,Canada,45.26704185,-66.07667505
canada,alberta,2023-04-10,2023-04-02,10,100,180,ufc 287,sports,Canada,53.01669802,-112.8166386
canada,ontario,2023-04-10,2023-04-02,10,100,180,ufc 287,sports,Canada,44.56664532,-80.84998519
canada,newfoundland and labrador,2023-04-10,2023-04-02,3,22,600,ufc tonight,sports,Canada,49.17440025,-57.42691878
canada,ontario,2023-04-10,2023-04-02,16,100,120,whl scores,sports,Canada,44.56664532,-80.84998519
canada,alberta,2023-04-10,2023-04-02,19,31,50,blue jays,sports,Canada,53.01669802,-112.8166386
canada,new brunswick,2023-04-10,2023-04-02,19,32,50,blue jays,sports,Canada,45.26704185,-66.07667505
canada,british columbia,2023-04-10,2023-04-02,14,30,130,blue jays score,sports,Canada,49.09996035,-116.516697
canada,nova scotia,2023-04-10,2023-04-02,14,13,130,blue jays score,sports,Canada,45.58327578,-62.63331934
canada,newfoundland and labrador,2023-04-10,2023-04-02,2,35,600,delonte west,people,Canada,49.17440025,-57.42691878
canada,new brunswick,2023-04-10,2023-04-02,18,36,70,edmonton oilers,sports,Canada,45.26704185,-66.07667505
canada,alberta,2023-04-10,2023-04-02,9,58,250,epl,sports,Canada,53.01669802,-112.8166386
canada,newfoundland and labrador,2023-04-10,2023-04-02,9,37,250,epl,sports,Canada,49.17440025,-57.42691878
canada,northwest territories,2023-04-10,2023-04-02,9,41,250,epl,sports,Canada,62.40005292,-110.7333291
canada,saskatchewan,2023-04-10,2023-04-02,9,44,250,epl,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-04-02,7,14,250,lotto max,entertainment,Canada,53.01669802,-112.8166386
canada,newfoundland and labrador,2023-04-10,2023-04-02,7,12,250,lotto max,entertainment,Canada,49.17440025,-57.42691878
canada,nova scotia,2023-04-10,2023-04-02,7,13,250,lotto max,entertainment,Canada,45.58327578,-62.63331934
canada,alberta,2023-04-10,2023-04-02,21,31,40,mlb scores,sports,Canada,53.01669802,-112.8166386
canada,saskatchewan,2023-04-10,2023-04-02,21,27,40,mlb scores,sports,Canada,50.93331097,-102.7999891
canada,newfoundland and labrador,2023-04-10,2023-04-02,20,38,50,nba standings,sports,Canada,49.17440025,-57.42691878
canada,northwest territories,2023-04-10,2023-04-02,20,48,50,nba standings,sports,Canada,62.40005292,-110.7333291
canada,ontario,2023-04-10,2023-04-02,20,64,50,nba standings,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-04-02,20,72,50,nba standings,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-04-02,17,24,110,oilers,sports,Canada,53.01669802,-112.8166386
canada,ontario,2023-04-10,2023-04-02,17,22,110,oilers,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-04-02,17,31,110,oilers,sports,Canada,50.93331097,-102.7999891
canada,manitoba,2023-04-10,2023-04-02,12,19,150,oilers game,sports,Canada,50.15002545,-96.88332178
canada,prince edward island,2023-04-10,2023-04-02,5,31,250,premier league,sports,Canada,46.24928164,-63.13132512
canada,saskatchewan,2023-04-10,2023-04-02,5,31,250,premier league,sports,Canada,50.93331097,-102.7999891
canada,nova scotia,2023-04-10,2023-04-02,22,4,40,raptors,sports,Canada,45.58327578,-62.63331934
canada,nunavut,2023-04-10,2023-04-02,22,16,40,raptors,sports,Canada,68.76746684,-81.23608303
canada,prince edward island,2023-04-10,2023-04-02,22,2,40,raptors,sports,Canada,46.24928164,-63.13132512
canada,saskatchewan,2023-04-10,2023-04-02,22,3,40,raptors,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-04-02,23,26,40,toronto blue jays,sports,Canada,53.01669802,-112.8166386
canada,saskatchewan,2023-04-10,2023-04-02,15,20,130,ufc,sports,Canada,50.93331097,-102.7999891
canada,nova scotia,2023-04-10,2023-04-02,10,64,180,ufc 287,sports,Canada,45.58327578,-62.63331934
canada,northwest territories,2023-04-10,2023-04-02,10,48,180,ufc 287,sports,Canada,62.40005292,-110.7333291
canada,saskatchewan,2023-04-10,2023-04-02,10,60,180,ufc 287,sports,Canada,50.93331097,-102.7999891
canada,alberta,2023-04-10,2023-04-02,16,100,120,whl scores,sports,Canada,53.01669802,-112.8166386
canada,british columbia,2023-04-10,2023-04-02,19,35,50,blue jays,sports,Canada,49.09996035,-116.516697
canada,northwest territories,2023-04-10,2023-04-02,19,47,50,blue jays,sports,Canada,62.40005292,-110.7333291
canada,prince edward island,2023-04-10,2023-04-02,19,33,50,blue jays,sports,Canada,46.24928164,-63.13132512
canada,new brunswick,2023-04-10,2023-04-02,14,10,130,blue jays score,sports,Canada,45.26704185,-66.07667505
canada,northwest territories,2023-04-10,2023-04-02,14,32,130,blue jays score,sports,Canada,62.40005292,-110.7333291
canada,saskatchewan,2023-04-10,2023-04-02,14,19,130,blue jays score,sports,Canada,50.93331097,-102.7999891
canada,british columbia,2023-04-10,2023-04-02,13,21,140,david suzuki,people,Canada,49.09996035,-116.516697
canada,ontario,2023-04-10,2023-04-02,2,1,600,delonte west,people,Canada,44.56664532,-80.84998519
canada,nova scotia,2023-04-10,2023-04-02,18,29,70,edmonton oilers,sports,Canada,45.58327578,-62.63331934
canada,new brunswick,2023-04-10,2023-04-02,9,28,250,epl,sports,Canada,45.26704185,-66.07667505
canada,prince edward island,2023-04-10,2023-04-02,9,25,250,epl,sports,Canada,46.24928164,-63.13132512
